run_id,model,prompt_id,rag_index,scope,n,tp,fp,tn,fn,invalid,recall,recall_lo,recall_hi,fpr,fpr_lo,fpr_hi,precision,precision_lo,precision_hi,f1,f1_lo,f1_hi,latency_mean,latency_median,tokens_in_mean,tokens_out_mean
main,qwen2.5-coder:7b,p0,,shai_hulud_w3,5,4,0,0,1,0,0.8,0.4,1.0,,,,1.0,1.0,1.0,0.8888888888888888,0.5714285714285714,1.0,12.2046,10.186,1126.2,188.0
main,qwen2.5-coder:7b,p0,,benigno_popolare,20,0,11,9,0,0,,,,0.55,0.34875000000000006,0.75,0.0,0.0,0.0,0.0,0.0,0.0,14.348450000000003,9.661000000000001,1262.9,224.55
main,qwen2.5-coder:7b,p0,,benigno_difficile,20,0,15,5,0,0,,,,0.75,0.55,0.9,0.0,0.0,0.0,0.0,0.0,0.0,11.406550000000001,10.057,902.9,192.4
main,qwen2.5-coder:7b,p0,,pulito_accoppiato,14,0,6,8,0,0,,,,0.42857142857142855,0.21428571428571427,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,8.539785714285715,8.013,583.2142857142857,161.35714285714286
main,qwen2.5-coder:7b,p1,,all,109,48,22,32,7,0,0.8727272727272727,0.7692307692307693,0.9482758620689655,0.4074074074074074,0.2711864406779661,0.5263157894736842,0.6857142857142857,0.5846153846153846,0.7945293291183702,0.768,0.6785636645962734,0.8421052631578947,10.920963302752293,9.627,1233.348623853211,177.44954128440367
main,qwen2.5-coder:7b,p1,,shai_hulud,15,14,0,0,1,0,0.9333333333333333,0.8,1.0,,,,1.0,1.0,1.0,0.9655172413793104,0.8888888888888888,1.0,11.7262,10.707,1403.0666666666666,185.46666666666667
main,qwen2.5-coder:7b,p1,,nato_malevolo,28,25,0,0,3,0,0.8928571428571429,0.75,1.0,,,,1.0,1.0,1.0,0.9433962264150944,0.8571428571428571,1.0,10.366964285714285,8.701,1068.2857142857142,187.35714285714286
main,qwen2.5-coder:7b,p1,,compromesso,12,9,0,0,3,0,0.75,0.5,1.0,,,,1.0,1.0,1.0,0.8571428571428571,0.6666666666666666,1.0,10.24875,10.027999999999999,1163.3333333333333,165.33333333333334
main,qwen2.5-coder:7b,p1,,shai_hulud_w1,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,10.9282,10.765,1005.4,205.2
main,qwen2.5-coder:7b,p1,,shai_hulud_w2,5,5,0,0,0,0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,11.9524,10.955,1743.6,153.2
